r_m,yukawa,frac_gravity,frac_EM
0.0009223851039358476,0.39756966438222946,0.003975696643822295,3.975696643822294e-07
0.0009439246843247663,0.38909774893338794,0.0038909774893338797,3.8909774893338795e-07
0.0009659672580093833,0.38061486885216644,0.0038061486885216647,3.8061486885216644e-07
0.000988524570912828,0.3721253307200518,0.003721253307200518,3.7212533072005173e-07
0.0010116086432495808,0.36363355216683185,0.0036363355216683184,3.636335521668318e-07
0.0010352317759307378,0.3551440575405481,0.0035514405754054814,3.551440575405481e-07
0.001059406557118851,0.34666147308284306,0.0034666147308284306,3.4666147308284306e-07
0.001084145868935835,0.3381905215981957,0.003381905215981957,3.3819052159819565e-07
0.0011094628943275218,0.3297360166071074,0.003297360166071074,3.2973601660710736e-07
0.0011353711240885177,0.3213028559750745,0.0032130285597507455,3.213028559750745e-07
0.0011618843640511002,0.312896015011141,0.00312896015011141,3.1289601501114097e-07
0.0011890167424419898,0.30452053903197934,0.0030452053903197935,3.0452053903197933e-07
0.001216782717410923,0.29618153538980246,0.0029618153538980246,2.9618153538980245e-07
0.001245197084735032,0.2878841649649761,0.002878841649649761,2.8788416496497606e-07
0.0012742749857031334,0.2796336331269546,0.002796336331269546,2.796336331269546e-07
0.0013040319151841316,0.27143518017012425,0.0027143518017012425,2.714351801701242e-07
0.0013344837298838383,0.2632940712342865,0.002632940712342865,2.632940712342865e-07
0.0013656466567946097,0.25521558572286174,0.0025521558572286175,2.5521558572286173e-07
0.001397537301842291,0.24720500623541178,0.002472050062354118,2.472050062354118e-07
0.001430172658735088,0.23926760703476319,0.002392676070347632,2.392676070347632e-07
0.0014635701180190797,0.23140864207285886,0.0023140864207285886,2.3140864207285884e-07
0.0014977474763452,0.22363333260343982,0.0022363333260343983,2.236333326034398e-07
0.0015327229459526134,0.21594685441375655,0.0021594685441375656,2.1594685441375653e-07
0.0015685151643735477,0.20835432471168877,0.002083543247116888,2.0835432471168875e-07
0.0016051432043647615,0.2008607887089059,0.002008607887089059,2.008607887089059e-07
0.0016426265840709304,0.19347120594498873,0.0019347120594498874,1.9347120594498874e-07
0.0016809852774253638,0.1861904364017218,0.0018619043640172182,1.861904364017218e-07
0.001720239724793599,0.17902322646101806,0.0017902322646101807,1.7902322646101806e-07
0.0017604108438655525,0.1719741947641177,0.0017197419476411772,1.719741947641177e-07
0.001801520040802024,0.16504781803376736,0.0016504781803376738,1.6504781803376735e-07
0.001843589221641488,0.15824841692498284,0.0015824841692498284,1.5824841692498282e-07
0.0018866408039732582,0.15158014197368336,0.0015158014197368336,1.5158014197368335e-07
0.0019306977288832496,0.14504695971590337,0.0014504695971590336,1.4504695971590335e-07
0.0019757834731786994,0.1386526390533953,0.0013865263905339532,1.386526390533953e-07
0.0020219220618983534,0.13240073794416443,0.0013240073794416444,1.3240073794416443e-07
0.00206913808111479,0.12629459049877617,0.0012629459049877617,1.2629459049877617e-07
0.002117456691035712,0.12033729456509046,0.0012033729456509047,1.2033729456509044e-07
0.0021669036394111807,0.11453169988535228,0.0011453169988535229,1.1453169988535227e-07
0.002217505275253932,0.10888039691024166,0.0010888039691024168,1.0888039691024166e-07
0.002269288562880081,0.10338570635450921,0.0010338570635450922,1.033857063545092e-07
0.0023222810962777243,0.09804966957814149,0.0009804966957814149,9.804966957814148e-08
0.002376511113811073,0.0928740398755783,0.000928740398755783,9.287403987557829e-08
0.0024320075132679476,0.08786027475328319,0.0008786027475328319,8.786027475328319e-08
0.002488799867258667,0.08300952927291891,0.0008300952927291891,8.30095292729189e-08
0.00254691843897454,0.07832265053347716,0.0007832265053347716,7.832265053347716e-08
0.0026063941983143473,0.07380017336093223,0.0007380017336093222,7.380017336093222e-08
0.002667258838387405,0.06944231726831242,0.0006944231726831242,6.944231726831241e-08
0.0027295447924020073,0.06524898474251911,0.0006524898474251911,6.524898474251911e-08
0.002793285250948253,0.06121976090677422,0.0006121976090677423,6.121976090677423e-08
0.0028585141796844717,0.05735391459926846,0.0005735391459926846,5.7353914599268456e-08
0.0029252663374366447,0.05365040089944817,0.0005365040089944817,5.365040089944817e-08
0.0029935772947204905,0.05010786512346079,0.000501078651234608,5.010786512346079e-08
0.0030634834526960843,0.04672464829965195,0.0004672464829965195,4.672464829965195e-08
0.0031350220625651123,0.04349879412373833,0.00043498794123738335,4.349879412373833e-08
0.0032082312454210773,0.04042805738146769,0.0004042805738146769,4.0428057381467685e-08
0.0032831500125630473,0.03750991381432079,0.0003750991381432079,3.750991381432079e-08
